index,name,image_url,profile_url
33,Janus,https://wiki.smite2.com/images/thumb/T_Janus_Default_Icon.png/96px-T_Janus_Default_Icon.png?1685a,https://wiki.smite2.com/w/Janus
34,Jing Wei,https://wiki.smite2.com/images/thumb/T_JingWei%28S2%29_Default_Icon.png/96px-T_JingWei%28S2%29_Default_Icon.png?8d169,https://wiki.smite2.com/w/Jing_Wei
35,Kali,https://wiki.smite2.com/images/thumb/T_Kali%28S2%29_Default_Icon.png/96px-T_Kali%28S2%29_Default_Icon.png?70288,https://wiki.smite2.com/w/Kali
36,Khepri,https://wiki.smite2.com/images/thumb/T_Khepri%28S2%29_Default_Icon.png/96px-T_Khepri%28S2%29_Default_Icon.png?b3a4d,https://wiki.smite2.com/w/Khepri
37,Kukulkan,https://wiki.smite2.com/images/thumb/T_Kukulkan%28S2%29_Default_Icon.png/96px-T_Kukulkan%28S2%29_Default_Icon.png?d4251,https://wiki.smite2.com/w/Kukulkan
38,Loki,https://wiki.smite2.com/images/thumb/T_Loki%28S2%29_Default_Icon.png/96px-T_Loki%28S2%29_Default_Icon.png?a44d0,https://wiki.smite2.com/w/Loki
39,Medusa,https://wiki.smite2.com/images/thumb/T_Medusa%28S2%29_Default_Icon.png/96px-T_Medusa%28S2%29_Default_Icon.png?b3a4d,https://wiki.smite2.com/w/Medusa
40,Mercury,https://wiki.smite2.com/images/thumb/T_Mercury_Default_Icon.png/96px-T_Mercury_Default_Icon.png?cbce8,https://wiki.smite2.com/w/Mercury
41,Merlin,https://wiki.smite2.com/images/thumb/T_Merlin%28S2%29_Default_Icon.png/96px-T_Merlin%28S2%29_Default_Icon.png?2013a,https://wiki.smite2.com/w/Merlin
42,Mordred,https://wiki.smite2.com/images/thumb/T_Mordred%28S2%29_Default_Icon.png/96px-T_Mordred%28S2%29_Default_Icon.png?cfb59,https://wiki.smite2.com/w/Mordred
43,Neith,https://wiki.smite2.com/images/thumb/T_Neith%28S2%29_Default_Icon.png/96px-T_Neith%28S2%29_Default_Icon.png?73218,https://wiki.smite2.com/w/Neith
44,Nemesis,https://wiki.smite2.com/images/thumb/T_Nemesis%28S2%29_Default_Icon.png/96px-T_Nemesis%28S2%29_Default_Icon.png?b3a4d,https://wiki.smite2.com/w/Nemesis
45,Nu Wa,https://wiki.smite2.com/images/thumb/T_Nu_Wa%28S2%29_Default_Icon.png/96px-T_Nu_Wa%28S2%29_Default_Icon.png?a1516,https://wiki.smite2.com/w/Nu_Wa
46,Odin,https://wiki.smite2.com/images/thumb/T_Odin%28S2%29_Default_Icon.png/96px-T_Odin%28S2%29_Default_Icon.png?2ee32,https://wiki.smite2.com/w/Odin
47,Pele,https://wiki.smite2.com/images/thumb/T_Pele%28S2%29_Default_Icon.png/96px-T_Pele%28S2%29_Default_Icon.png?a1516,https://wiki.smite2.com/w/Pele
48,Poseidon,https://wiki.smite2.com/images/thumb/T_Poseidon%28S2%29_Default_Icon.png/96px-T_Poseidon%28S2%29_Default_Icon.png?a1516,https://wiki.smite2.com/w/Poseidon
49,Princess Bari,https://wiki.smite2.com/images/thumb/T_Princess_Bari%28S2%29_Default_Icon.png/96px-T_Princess_Bari%28S2%29_Default_Icon.png?1a2f0,https://wiki.smite2.com/w/Princess_Bari
50,Ra,https://wiki.smite2.com/images/thumb/T_Ra%28S2%29_Default_Icon.png/96px-T_Ra%28S2%29_Default_Icon.png?a1516,https://wiki.smite2.com/w/Ra
51,Rama,https://wiki.smite2.com/images/thumb/T_Rama%28S2%29_Default_Icon.png/96px-T_Rama%28S2%29_Default_Icon.png?a8743,https://wiki.smite2.com/w/Rama
52,Scylla,https://wiki.smite2.com/images/thumb/T_Scylla_Default_Icon.png/96px-T_Scylla_Default_Icon.png?43b80,https://wiki.smite2.com/w/Scylla
53,Sobek,https://wiki.smite2.com/images/thumb/T_Sobek%28S2%29_Default_Icon.png/96px-T_Sobek%28S2%29_Default_Icon.png?b3a4d,https://wiki.smite2.com/w/Sobek
54,Sol,https://wiki.smite2.com/images/thumb/T_Sol%28S2%29_Default_Icon.png/96px-T_Sol%28S2%29_Default_Icon.png?e37a0,https://wiki.smite2.com/w/Sol
55,Sun Wukong,https://wiki.smite2.com/images/thumb/T_SunWukong_Default_Icon.png/96px-T_SunWukong_Default_Icon.png?303e7,https://wiki.smite2.com/w/Sun_Wukong
56,Susano,https://wiki.smite2.com/images/thumb/T_Susano%28S2%29_Default_Icon.png/96px-T_Susano%28S2%29_Default_Icon.png?24b0a,https://wiki.smite2.com/w/Susano
57,Thanatos,https://wiki.smite2.com/images/thumb/T_Thanatos%28S2%29_Default_Icon.png/96px-T_Thanatos%28S2%29_Default_Icon.png?bb1ee,https://wiki.smite2.com/w/Thanatos
58,The Morrigan,https://wiki.smite2.com/images/thumb/T_The_Morrigan%28S2%29_Default_Icon.png/96px-T_The_Morrigan%28S2%29_Default_Icon.png?188e1,https://wiki.smite2.com/w/The_Morrigan
59,Thor,https://wiki.smite2.com/images/thumb/T_Thor%28S2%29_Default_Icon.png/96px-T_Thor%28S2%29_Default_Icon.png?a1516,https://wiki.smite2.com/w/Thor
60,Ullr,https://wiki.smite2.com/images/thumb/T_Ullr%28S2%29_Default_Icon.png/96px-T_Ullr%28S2%29_Default_Icon.png?a1516,https://wiki.smite2.com/w/Ullr
61,Vulcan,https://wiki.smite2.com/images/thumb/T_Vulcan%28S2%29_Default_Icon.png/96px-T_Vulcan%28S2%29_Default_Icon.png?68221,https://wiki.smite2.com/w/Vulcan
62,Yemoja,https://wiki.smite2.com/images/thumb/T_Yemoja%28S2%29_Default_Icon.png/96px-T_Yemoja%28S2%29_Default_Icon.png?b3a4d,https://wiki.smite2.com/w/Yemoja
63,Ymir,https://wiki.smite2.com/images/thumb/T_Ymir%28S2%29_Default_Icon.png/96px-T_Ymir%28S2%29_Default_Icon.png?fc417,https://wiki.smite2.com/w/Ymir
64,Zeus,https://wiki.smite2.com/images/thumb/T_Zeus%28S2%29_Default_Icon.png/96px-T_Zeus%28S2%29_Default_Icon.png?d376a,https://wiki.smite2.com/w/Zeus
